#{"t_start": 1768226805.779964, "env_id": "None"}
r,l,t
-1698.5835,200,1.245705
-813.8011,200,1.245705
-1167.7871,200,1.245705
-1324.4127,200,1.245705
-1068.4672,200,1.438713
-1310.2743,200,1.438713
-770.87103,200,1.438713
-1606.59,200,1.438713
-1170.6982,200,1.631438
-1580.8998,200,1.631438
-1293.1344,200,1.631438
-988.9879,200,1.631438
-894.7627,200,1.82144
-1070.7506,200,1.82144
-985.1839,200,1.82144
-1063.0327,200,1.82144
-1580.7206,200,2.013605
-1782.9912,200,2.014106
-870.5756,200,2.014106
-1503.4114,200,2.014106
-1186.273,200,2.204611
-1560.4467,200,2.204611
-1244.6715,200,2.204611
-1203.8279,200,2.204611
-854.50446,200,2.394614
-1109.6432,200,2.394614
-1557.8934,200,2.395121
-1171.5105,200,2.395121
-1152.0502,200,2.586114
-1209.7766,200,2.586114
-1356.907,200,2.586114
-1737.6431,200,2.586114
-1449.9495,200,2.776118
-954.3519,200,2.776118
-975.4875,200,2.776118
-782.47675,200,2.776118
-912.69836,200,2.965296
-1176.2148,200,2.965296
-1540.0775,200,2.965296
-1175.9382,200,2.965296
-866.5545,200,9.138536
-1682.6262,200,9.138536
-871.45764,200,9.138536
-1850.6777,200,9.139035
-1748.7441,200,9.334558
-1140.989,200,9.335063
-1144.6536,200,9.335063
-1151.5692,200,9.335063
-1571.8425,200,9.534563
-1587.0096,200,9.534563
-855.88007,200,9.534563
-689.3167,200,9.534563
-1373.8485,200,9.734709
-1165.0582,200,9.738801
-1361.0125,200,9.738801
-1483.3334,200,9.738801
-1134.7056,200,9.932305
-901.9315,200,9.932305
-1186.8452,200,9.932305
-1159.5797,200,9.932305
-1703.8093,200,10.129019
-1300.1417,200,10.129019
-1055.7894,200,10.129019
-990.30994,200,10.129019
-819.26105,200,10.32702
-968.01227,200,10.32702
-750.2125,200,10.32702
-794.6202,200,10.32702
-971.96844,200,10.526024
-1669.0402,200,10.526524
-832.0383,200,10.526524
-1688.3617,200,10.526524
-1115.6106,200,10.725525
-823.96075,200,10.725525
-868.69653,200,10.725525
-1353.0294,200,10.725525
-891.71265,200,10.925024
-1530.1276,200,10.925024
-1262.6877,200,10.925024
-936.61096,200,10.925024
-762.90796,200,17.343329
-1289.0576,200,17.343329
-969.70416,200,17.343329
-794.8161,200,17.343329
-752.0486,200,17.537333
-1258.1038,200,17.537333
-1179.665,200,17.537333
-890.8884,200,17.537333
-953.66144,200,17.730336
-1641.5096,200,17.730336
-1633.6024,200,17.730336
-959.4386,200,17.730336
-973.7854,200,17.928849
-1194.081,200,17.928849
-953.4303,200,17.928849
-781.067,200,17.928849
-952.74414,200,18.126349
-1113.636,200,18.126849
-972.539,200,18.126849
-916.09314,200,18.126849
-871.44403,200,18.326349
-885.6646,200,18.326349
-746.6997,200,18.326349
-1329.2064,200,18.326349
-1583.4464,200,18.522353
-893.3399,200,18.522854
-1080.1171,200,18.522854
-1356.0925,200,18.522854
-897.7295,200,18.720483
-1540.7659,200,18.720984
-963.2788,200,18.720984
-981.0212,200,18.720984
-1188.7946,200,18.917487
-1184.0919,200,18.917487
-958.51465,200,18.917487
-1096.8796,200,18.917487
-1527.9364,200,19.112987
-896.93945,200,19.113488
-986.89056,200,19.113488
-1582.1458,200,19.113488
-1197.1423,200,25.444364
-863.75525,200,25.444364
-1559.7719,200,25.444364
-1275.1951,200,25.444364
-931.92944,200,25.641364
-1658.3721,200,25.641867
-1119.4614,200,25.641867
-1761.6329,200,25.641867
-818.94507,200,25.837364
-859.499,200,25.837364
-1074.2803,200,25.837364
-890.21735,200,25.837364
-1314.9469,200,26.035363
-981.0138,200,26.035363
-877.301,200,26.035363
-1485.5806,200,26.035363
-1448.9865,200,26.230547
-1442.2965,200,26.230547
-878.21606,200,26.230547
-1091.1837,200,26.230547
-1612.85,200,26.431693
-1206.3475,200,26.431693
-1243.8644,200,26.431693
-1581.4438,200,26.431693
-965.773,200,26.631193
-1195.8478,200,26.631193
-810.59796,200,26.631193
-1523.8535,200,26.631193
-1256.9653,200,26.824198
-1631.753,200,26.824198
-1187.1348,200,26.824198
-883.0267,200,26.824198
-968.6909,200,27.021705
-1232.5615,200,27.021705
-873.2694,200,27.021705
-863.1567,200,27.021705
-864.35284,200,27.221203
-1181.8748,200,27.221203
-866.18054,200,27.221203
-1640.6718,200,27.221203
-1552.2261,200,33.504762
-856.7745,200,33.504762
-1340.2152,200,33.504762
-758.11383,200,33.504762
-1341.1208,200,33.704629
-1589.9404,200,33.704629
-1196.0333,200,33.704629
-1053.7821,200,33.704629
-897.65186,200,33.904136
-1507.6373,200,33.904136
-871.03845,200,33.904136
-857.9002,200,33.904136
-992.1977,200,34.097635
-971.17053,200,34.097635
-1202.8845,200,34.097635
-1156.2749,200,34.097635
-1603.5796,200,34.296656
-1098.2622,200,34.296656
-891.6256,200,34.296656
-1069.8474,200,34.296656
-1067.0443,200,34.49716
-762.9105,200,34.49716
-1279.095,200,34.49716
-1400.8348,200,34.49716
-1181.4741,200,34.695182
-975.52423,200,34.695182
-1798.1294,200,34.695182
-1059.8706,200,34.695182
-1072.9012,200,34.892698
-1594.3124,200,34.892698
-1077.4146,200,34.892698
-749.24084,200,34.893198
-1077.923,200,35.088701
-1284.3234,200,35.088701
-764.23663,200,35.088701
-779.376,200,35.088701
-875.8333,200,35.286702
-1382.9731,200,35.286702
-1224.1405,200,35.286702
-1179.8234,200,35.286702
-1798.0629,200,35.478724
-1157.3812,200,35.478724
-1355.8672,200,35.478724
-880.16296,200,35.478724
-1170.713,200,41.788717
-1160.9889,200,41.788717
-1295.0497,200,41.788717
-1413.6405,200,41.788717
-1211.4717,200,41.986735
-1169.9263,200,41.986735
-755.2675,200,41.986735
-1390.6166,200,41.986735
-1736.1606,200,42.186746
-1385.5621,200,42.186746
-1618.883,200,42.186746
-1120.3197,200,42.186746
-1076.0724,200,42.39225
-963.6659,200,42.39275
-1248.4332,200,42.39275
-963.3311,200,42.39275
-870.3423,200,42.58774
-1072.0156,200,42.58774
-861.9784,200,42.58774
-1138.5282,200,42.58774
-1556.0901,200,42.787426
-960.1709,200,42.787426
-1105.0457,200,42.787426
-1212.4159,200,42.787426
-1336.003,200,42.986942
-1253.2461,200,42.986942
-768.5661,200,42.986942
-1331.1906,200,42.986942
-981.26245,200,43.182959
-910.3816,200,43.182959
-956.01624,200,43.182959
-855.54865,200,43.182959
-880.8398,200,43.379483
-908.5707,200,43.379483
-1410.0657,200,43.379483
-756.35455,200,43.379483
-993.5253,200,43.578499
-1070.0355,200,43.578499
-1080.389,200,43.578499
-1189.2156,200,43.578499
-914.72363,200,49.889779
-1179.6642,200,49.890279
-1188.0944,200,49.890279
-965.7968,200,49.890279
-1426.1654,200,50.086457
-1367.3436,200,50.086457
-1179.3423,200,50.086457
-1091.5487,200,50.086457
-850.6876,200,50.283966
-1319.4811,200,50.283966
-882.8795,200,50.283966
-1002.97925,200,50.283966
-1723.5482,200,50.481477
-1310.3607,200,50.481477
-1222.5652,200,50.481477
-1084.7506,200,50.481477
-901.7882,200,50.680599
-968.01196,200,50.680599
-1233.1989,200,50.680599
-1120.9373,200,50.680599
-1339.2145,200,50.878118
-1213.7386,200,50.878118
-1228.2931,200,50.878118
-857.11273,200,50.878118
-1455.292,200,51.077124
-985.7165,200,51.077124
-852.0992,200,51.077124
-939.45447,200,51.077124
-1113.3029,200,51.279624
-1397.8933,200,51.280124
-1270.9365,200,51.280124
-1408.089,200,51.280124
-899.2655,200,51.476587
-1550.6609,200,51.476587
-1258.4481,200,51.476587
-1262.8491,200,51.476587
-1526.6205,200,51.674088
-878.71124,200,51.674088
-895.0899,200,51.674088
-1176.3323,200,51.674088
-1391.3606,200,58.033106
-1078.3878,200,58.033606
-1033.3961,200,58.033606
-1449.6976,200,58.033606
-1246.7004,200,58.2336
-1218.2787,200,58.2336
-924.0063,200,58.2336
-1210.8358,200,58.2336
-1182.7039,200,58.431604
-969.61584,200,58.431604
-762.48676,200,58.431604
-1083.5494,200,58.431604
-884.39,200,58.63009
-789.7732,200,58.63009
-835.12,200,58.63009
-1507.7391,200,58.63009
-1109.3666,200,58.829586
-863.84015,200,58.829586
-904.28314,200,58.829586
-1056.8977,200,58.829586
-863.53143,200,59.027086
-893.7228,200,59.027086
-1321.829,200,59.027086
-1087.6216,200,59.027086
-947.49493,200,59.227586
-756.82495,200,59.227586
-1418.4169,200,59.227586
-1087.1625,200,59.227586
-1204.4545,200,59.425826
-1418.7886,200,59.425826
-1205.8171,200,59.425826
-1085.6917,200,59.425826
-1281.0948,200,59.622325
-918.0256,200,59.622325
-1181.3165,200,59.622325
-759.90845,200,59.622325
-1512.3909,200,59.819829
-1767.598,200,59.820331
-901.0249,200,59.820331
-851.2988,200,59.820331
